Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2015-08-07,114.58,116.25,114.5,115.52,38670405.0,0.0,1.0,110.22729819681999,111.833857701,110.15033726248998,111.13158917522,38670405.0
2015-08-06,115.97,116.5,114.115,115.13,52903040.0,0.52,1.0,111.56449443084,112.07436062078001,109.77996276601999,110.75640462035,52903040.0
2015-08-05,112.95,117.44,112.1,115.4,98384461.0,0.0,1.0,108.1706519833,112.4706628501,107.35661874571,110.51698307988,98384461.0
2015-08-04,117.42,117.7,113.25,114.64,124138623.0,0.0,1.0,112.45150912686,112.71966125219,108.45795783185999,109.78914159685999,124138623.0
2015-08-03,121.5,122.57,117.52,118.44,69975968.0,0.0,1.0,116.35886866728998,117.38359286049999,112.54727774305,113.42834901196998,69975968.0
2015-07-31,122.6,122.6425,120.91,121.3,42884953.0,0.0,1.0,117.41232344535,117.45302510722999,115.79383383179,116.16733143491999,42884953.0
2015-07-30,122.32,122.5699,121.71,122.37,33628268.0,0.0,1.0,117.14417132003,117.38349709188,116.55998276129,117.19205562812,33628268.0
2015-07-29,123.15,123.5,122.27,122.99,37011653.0,0.0,1.0,117.93905083438,118.27424099103999,117.09628701193998,117.78582104848,37011653.0
2015-07-28,123.38,123.91,122.55,123.38,33618097.0,0.0,1.0,118.15931865161001,118.6668923174,117.36443913726002,118.15931865161001,33618097.0
2015-07-27,123.09,123.61,122.12,122.77,44455540.0,0.0,1.0,117.88158966466999,118.37958646883999,116.95263408765,117.57513009286998,44455540.0
2015-07-24,125.32,125.74,123.9,124.5,42162332.0,0.0,1.0,120.01722980563999,120.41945799363,118.65731545578001,119.23192715291,42162332.0
2015-07-23,126.2,127.09,125.06,125.16,50999452.0,0.0,1.0,120.85999362808998,121.71233431215,119.76823140354999,119.86400001973999,50999452.0
2015-07-22,121.99,125.5,121.99,125.22,115450607.0,0.0,1.0,116.82813488661002,120.18961331478,116.82813488661002,119.92146118945,115450607.0
2015-07-21,132.85,132.92,130.32,130.75,76756427.0,0.0,1.0,127.22860660453001,127.29564463586,124.80566061498999,125.21746566459998,76756427.0
2015-07-20,130.97,132.97,130.7,132.07,58900203.0,0.0,1.0,125.42815662021002,127.34352894395,125.16958135651001,126.48161139826999,58900203.0
2015-07-17,129.08,129.62,128.31,129.62,46164710.0,0.0,1.0,123.61812977428002,124.13528030168999,122.88071142963001,124.13528030168999,46164710.0
2015-07-16,127.74,128.57,127.35,128.51,36222447.0,0.0,1.0,122.33483031736999,123.12970983171999,121.96133271424,123.07224866201,36222447.0
2015-07-15,125.72,127.15,125.58,126.82,33649200.0,0.0,1.0,120.40030427039,121.76979548186002,120.26622820773001,121.45375904845,33649200.0
2015-07-14,126.04,126.37,125.04,125.61,31768139.0,0.0,1.0,120.70676384219,121.02280027561001,119.74907768032,120.29495879258002,31768139.0
2015-07-13,125.03,125.755,124.32,125.66,41440538.0,0.0,1.0,119.73950081870001,120.43382328605,119.05954364376998,120.34284310068001,41440538.0
2015-07-10,121.94,123.85,121.21,123.28,61354474.0,0.0,1.0,116.78025057852,118.60943114768999,116.08113968034999,118.06355003542,61354474.0
2015-07-09,123.85,124.06,119.22,120.07,78595038.0,0.0,1.0,118.60943114768999,118.81054524168002,114.17534421823,114.98937745581999,78595038.0
2015-07-08,124.48,124.64,122.54,122.57,60761614.0,0.0,1.0,119.21277342967,119.36600321556999,117.35486227563999,117.38359286049999,60761614.0
2015-07-07,125.89,126.15,123.77,125.69,46946811.0,0.0,1.0,120.56311091791001,120.81210931998999,118.53281625473998,120.37157368553001,46946811.0
2015-07-06,124.94,126.23,124.85,126.0,28060431.0,0.0,1.0,119.65330906413,120.88872421293999,119.56711730956002,120.66845639571001,28060431.0
2015-07-02,126.43,126.69,125.77,126.44,27210952.0,0.0,1.0,121.08026144531999,121.3292598474,120.44818857848,121.08983830693998,27210952.0
2015-07-01,126.9,126.94,125.99,126.6,30238811.0,0.0,1.0,121.5303739414,121.56868138786999,120.65887953408999,121.24306809283999,30238811.0
2015-06-30,125.57,126.12,124.86,125.425,44370682.0,0.0,1.0,120.25665134611,120.78337873514,119.57669417118,120.11778685264,44370682.0
2015-06-29,125.46,126.47,124.48,124.53,49161427.0,0.0,1.0,120.1513058683,121.11856889178999,119.21277342967,119.26065773776001,49161427.0
2015-06-26,127.67,127.99,126.51,126.75,44066841.0,0.0,1.0,122.26779228603998,122.57425185783998,121.15687633827,121.38672101712,44066841.0
2015-06-25,128.86,129.2,127.5,127.5,31938100.0,0.0,1.0,123.40743881866001,123.73305211370001,122.10498563851999,122.10498563851999,31938100.0
2015-06-24,127.21,129.8,127.12,128.11,55280855.0,0.0,1.0,121.82725665158002,124.30766381081999,121.74106489701,122.68917419726002,55280855.0
2015-06-23,127.48,127.61,126.8792,127.03,30268863.0,0.0,1.0,122.08583191528,122.21033111633001,121.51045406923001,121.65487314244,30268863.0
2015-06-22,127.49,128.06,127.08,127.61,34039345.0,0.0,1.0,122.0954087769,122.64128988917,121.70275745053002,122.21033111633001,34039345.0
2015-06-19,127.71,127.82,126.4,126.6,54716887.0,0.0,1.0,122.30609973251002,122.41144521032,121.05153086046002,121.24306809283999,54716887.0
2015-06-18,127.23,128.31,127.22,127.88,35407220.0,0.0,1.0,121.84641037481,122.88071142963001,121.83683351319999,122.46890638003,35407220.0
2015-06-17,127.72,127.88,126.74,127.3,32918071.0,0.0,1.0,122.31567659413,122.46890638003,121.37714415549999,121.91344840615,32918071.0
2015-06-16,127.03,127.85,126.37,127.6,31494131.0,0.0,1.0,121.65487314244,122.44017579517,121.02280027561001,122.20075425471,31494131.0
2015-06-15,126.1,127.24,125.71,126.92,43988946.0,0.0,1.0,120.76422501190001,121.85598723643,120.39072740876999,121.54952766463,43988946.0
2015-06-12,128.185,128.33,127.11,127.17,36886246.0,0.0,1.0,122.76100065940001,122.89986515286999,121.73148803539,121.7889492051,36886246.0
2015-06-11,129.18,130.18,128.475,128.59,35390887.0,0.0,1.0,123.71389839046002,124.67158455233,123.03872964633999,123.14886355496,35390887.0
2015-06-10,127.92,129.34,127.85,128.88,39087250.0,0.0,1.0,122.50721382651001,123.86712817636001,122.44017579517,123.4265925419,39087250.0
2015-06-09,126.7,128.08,125.62,127.42,56075420.0,0.0,1.0,121.33883670902,122.6604436124,120.3045356542,122.02837074556999,56075420.0
2015-06-08,128.9,129.21,126.83,127.8,52674786.0,0.0,1.0,123.44574626514,123.74262897532,121.46333591007,122.39229148708,52674786.0
2015-06-05,129.5,129.69,128.36,128.65,35626800.0,0.0,1.0,124.02035796226002,124.20231833302,122.92859573773,123.20632472467,35626800.0
2015-06-04,129.58,130.58,128.91,129.36,38450118.0,0.0,1.0,124.09697285521001,125.05465901708,123.45532312676,123.8862818996,38450118.0
2015-06-03,130.66,130.94,129.9,130.12,30983542.0,0.0,1.0,125.13127391003,125.39942603535,124.40343242701,124.61412338262,30983542.0
2015-06-02,129.86,130.655,129.32,129.96,33667627.0,0.0,1.0,124.36512498053001,125.12648547922,123.84797445312,124.46089359671998,33667627.0
2015-06-01,131.2,131.39,130.05,130.535,32112797.0,0.0,1.0,125.64842443744,125.8303848082,124.54708535129,125.01156313979999,32112797.0
2015-05-29,131.23,131.45,129.9,130.28,50884452.0,0.0,1.0,125.6771550223,125.88784597791,124.40343242701,124.76735316851999,50884452.0
2015-05-28,131.86,131.95,131.1,131.78,30733309.0,0.0,1.0,126.28049730428002,126.36668905884,125.55265582125,126.20388241133001,30733309.0
2015-05-27,130.34,132.26,130.05,132.045,45833246.0,0.0,1.0,124.82481433823,126.66357176902001,124.54708535129,126.45766924421999,45833246.0
2015-05-26,132.6,132.91,129.12,129.62,70697560.0,0.0,1.0,126.98918506406,127.28606777424,123.65643722075,124.13528030168999,70697560.0
2015-05-22,131.6,132.97,131.4,132.54,45595972.0,0.0,1.0,126.03149890219,127.34352894395,125.83996166982,126.93172389435,45595972.0
2015-05-21,130.07,131.63,129.83,131.39,39730364.0,0.0,1.0,124.56623907453002,126.06022948705,124.33639439568,125.8303848082,39730364.0
2015-05-20,130.0,130.98,129.34,130.06,36454932.0,0.0,1.0,124.4992010432,125.43773348183001,123.86712817636001,124.55666221291,36454932.0
2015-05-19,130.69,130.88,129.64,130.07,44633240.0,0.0,1.0,125.16000449488999,125.34196486564,124.15443402492,124.56623907453002,44633240.0
2015-05-18,128.38,130.72,128.36,130.19,50882918.0,0.0,1.0,122.94774946097,125.18873507973998,122.92859573773,124.68116141395001,50882918.0
2015-05-15,129.07,129.49,128.21,128.77,38208034.0,0.0,1.0,123.60855291266,124.01078110063999,122.78494281344999,123.32124706409999,38208034.0
2015-05-14,127.41,128.95,127.16,128.95,45203456.0,0.0,1.0,122.01879388395001,123.49363057322999,121.77937234347999,123.49363057322999,45203456.0
2015-05-13,126.15,127.19,125.87,126.01,34694235.0,0.0,1.0,120.81210931998999,121.80810292833999,120.54395719466999,120.67803325733,34694235.0
2015-05-12,125.6,126.88,124.82,125.865,48160032.0,0.0,1.0,120.28538193096,121.51122021816002,119.53838672471001,120.53916876386002,48160032.0
2015-05-11,127.39,127.56,125.625,126.32,42035757.0,0.0,1.0,121.99964016071002,122.16244680823,120.30932408501002,120.97491596751001,42035757.0
2015-05-08,126.68,127.62,126.11,127.62,55550382.0,0.0,1.0,121.31968298578998,122.21990797793998,120.77380187351999,122.21990797793998,55550382.0
2015-05-07,124.77,126.08,124.02,125.26,43940895.0,0.52,1.0,119.49050241661001,120.74507128866001,118.77223779521002,119.95976863593,43940895.0
2015-05-06,126.56,126.75,123.36,125.01,72141010.0,0.0,1.0,120.70367561268,120.88488372239999,117.65174955421001,119.22539892811001,72141010.0
2015-05-05,128.15,128.4498,125.78,125.8,49271416.0,0.0,1.0,122.22010137299,122.50602869558998,119.95976863593,119.97884317379,49271416.0
2015-05-04,129.5,130.57,128.26,128.7,50988278.0,0.0,1.0,123.50763267891001,124.52812045471,122.32501133125,122.74465116428999,50988278.0
2015-05-01,126.1,130.13,125.3,128.95,58512638.0,0.0,1.0,120.26496124178001,124.10848062167,119.50197972716002,122.98308288761001,58512638.0
2015-04-30,127.5,127.88,124.58,125.15,83195423.0,0.0,1.0,121.60017889236,121.9625951118,118.81529636399999,119.35892069316999,83195423.0
2015-04-29,130.16,131.59,128.3,128.64,63386083.0,0.0,1.0,124.13709242847,125.50092188584999,122.36316040698,122.68742755068999,63386083.0
2015-04-28,134.455,134.54,129.57,130.56,118923970.0,0.0,1.0,128.23334943508002,128.31441622100002,123.57439356143999,124.51858318578002,118923970.0
2015-04-27,132.31,133.13,131.15,132.65,96954207.0,0.0,1.0,126.187605249,126.96966130148998,125.08128205281,126.51187239272,96954207.0
2015-04-24,130.49,130.63,129.23,130.28,44525905.0,0.0,1.0,124.45182230325001,124.5853440683,123.25012641772,124.25153965566003,44525905.0
2015-04-23,128.3,130.42,128.14,129.67,45770902.0,0.0,1.0,122.36316040698,124.38506142071999,122.21056410405001,123.66976625076,45770902.0
2015-04-22,126.99,128.87,126.32,128.62,37654505.0,0.0,1.0,121.11377817678999,122.90678473613998,120.4747811583,122.66835301283001,37654505.0
2015-04-21,128.1,128.2,126.67,126.91,32435057.0,0.0,1.0,122.17241502831999,122.26778771765,120.80858557094,121.03748002533001,32435057.0
2015-04-20,125.57,128.12,125.17,127.6,47054310.0,0.0,1.0,119.75948598834,122.19148956619,119.37799523103001,121.69555158168998,47054310.0
2015-04-17,125.55,126.14,124.46,124.75,51957046.0,0.0,1.0,119.74041145048,120.30311031751002,118.70084913681002,118.97742993586,51957046.0
2015-04-16,126.28,127.1,126.11,126.17,28368987.0,0.0,1.0,120.43663208257,121.21868813504999,120.27449851071,120.33172212431002,28368987.0
2015-04-15,126.41,127.13,126.01,126.78,28970419.0,0.0,1.0,120.56061657868999,121.24729994184999,120.17912582138001,120.9134955292,28970419.0
2015-04-14,127.0,127.29,125.91,126.3,25524593.0,0.0,1.0,121.12331544571998,121.39989624476999,120.08375313205,120.45570662043,25524593.0
2015-04-13,128.37,128.57,126.61,126.85,36365123.0,0.0,1.0,122.42992128951,122.62066666816001,120.75136195735,120.98025641173,36365123.0
2015-04-10,125.95,127.21,125.26,127.1,40187953.0,0.0,1.0,120.12190220778999,121.32359809331001,119.46383065143,121.21868813504999,40187953.0
